,0,1,2,3,4,5,6,7,8,9,description
0,105,Panic disorder,Anxiety and nervousness,88,Depression,55,Shortness of breath,40,Depressive or psychotic symptoms,33,"'Panic disorder \t \t\t \tPanic disorder is an anxiety disorder characterized by recurring severe panic attacks. It may also include significant behavioral changes lasting at least a month and of ongoing worry about the implications or concern about having other attacks. The latter are called anticipatory attacks (DSM-IVR). Panic disorder is not the same as agoraphobia (fear of public places)', ' although many afflicted with panic disorder also suffer from agoraphobia. Panic attacks cannot be predicted', ' therefore an individual may become stressed', ' anxious or worried wondering when the next panic attack will occur. Panic disorder may be differentiated as a medical condition', ' or chemical imbalance. The DSM-IV-TR describes panic disorder and anxiety differently. Whereas anxiety is preceded by chronic stressors which build to reactions of moderate intensity that can last for days', ' weeks or months', ' panic attacks are acute events triggered by a sudden', ' out-of-the-blue cause: duration is short and symptoms are more intense. Panic attacks can occur in children', ' as well as adults. Panic in young people may be particularly distressing because children tend to have less insight about what is happening', ' and parents are also likely to experience distress when attacks occur. \t\t Source: Wikipedia'"
1,106,Vocal cord polyp,Hoarse voice,91,Sore throat,47,Difficulty speaking,27,Cough,27,"'Vocal cord polyp \t \t \t\tVocal cord polyp is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.', 'Patients with vocal cord polyp often receive \t\t\t \t\t\t tracheoscopy and laryngoscopy with biopsy', ' \t\t\t \t\t\t\t\t\t \t\t\t occupational therapy assessment', ' \t\t\t \t\t\t\t\t\t \t\t\t other diagnostic procedures (interview;;;;;;'"
2,107,Turner syndrome,Groin mass,27,Leg pain,27,Hip pain,27,Suprapubic pain,27,"'Turner syndrome \t Also known as Gonadal Dysgenesis', ' XO Syndrome', ' and Bonnevie-ullrich Syndrome \t \t\t \tTurner syndrome or Ullrich–Turner syndrome (also known as ""Gonadal dysgenesis"":550)', ' 45', 'X', ' encompasses several conditions in human females', ' of which monosomy X (absence of an entire sex chromosome', ' the Barr body) is most common. It is a chromosomal abnormality in which all or part of one of the sex chromosomes is absent or has other abnormalities (unaffected humans have 46 chromosomes', ' of which two are sex chromosomes). In some cases', ' the chromosome is missing in some cells but not others'"
3,108,Cryptorchidism,Symptoms of the scrotum and testes,50,Swelling of scrotum,16,Pain in testicles,9,Flatulence,9,"' meaning hidden and ὄρχις', ' orchis', ' meaning testicle) is the absence of one or both testes from the scrotum. It is the most common birth defect regarding male genitalia. In unique cases', ' cryptorchidism can develop later in life', ' often as late as young adulthood. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis. However', ' about 80% of cryptorchid testes descend by the first year of life (the majority within three months)', ' making the true incidence of cryptorchidism around 1% overall. Cryptorchidism is distinct from monorchism the condition of having only one testicle. \t\t Source: Wikipedia', 'Patients with cryptorchidism often receive \t\t\t \t\t\t complete physical skin exam performed (ml)', ' \t\t\t \t\t\t\t\t\t \t\t\t ultrasonography', ' \t\t\t \t\t\t\t\t\t \t\t\t pelvis exam'"
4,109,Poisoning due to ethylene glycol,Abusing alcohol,78,Fainting,64,Hostile behavior,45,Drug abuse,45,"'Poisoning due to ethylene glycol \t Also known as Anti Freeze Poisoning and Ethylene Glycol Toxicity \t \t \t\tPoisoning due to ethylene glycol is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.', 'Patients with poisoning due to ethylene glycol often receive \t\t\t \t\t\t intravenous fluid replacement', ' \t\t\t \t\t\t\t\t\t \t\t\t hematologic tests', ' \t\t\t \t\t\t\t\t\t \t\t\t toxicology screen', ' \t\t\t \t\t\t\t\t\t \t\t\t complete blood count', ' \t\t\t \t\t\t\t\t\t \t\t\t electrocardiogram', ' \t\t\t \t\t\t\t\t\t \t\t\t glucose measurement', ' \t\t\t \t\t\t\t\t\t \t\t\t blood alcohol and \t\t\t \t\t\t\t\t\t \t\t\t kidney function tests \t\t\t \t\t\t.', '{""commonTestsAndProcedures"":""Intravenous fluid replacement""}', '{""commonTestsAndProcedures"":""Hematologic tests (Blood test)""}'"
5,110,Atrophic vaginitis,Vaginal itching,45,Vaginal dryness,45,Painful urination,40,Involuntary urination,36,"'Atrophic vaginitis \t \t\t \tAtrophic vaginitis (also known as vaginal atrophy or urogenital atrophy) is an inflammation of the vagina (and the outer urinary tract) due to the thinning and shrinking of the tissues', ' as well as decreased lubrication. This is all due to a lack of the reproductive hormone estrogen. \t\t Source: Wikipedia', 'Patients with atrophic vaginitis often receive \t\t\t \t\t\t pelvis exam', ' \t\t\t \t\t\t\t\t\t \t\t\t examination of breast', ' \t\t\t \t\t\t\t\t\t \t\t\t urinalysis', ' \t\t\t \t\t\t\t\t\t \t\t\t mammography', ' \t\t\t \t\t\t\t\t\t \t\t\t rectal examination', ' \t\t\t \t\t\t\t\t\t \t\t\t complete physical skin exam performed (ml)', ' \t\t\t \t\t\t\t\t\t \t\t\t pap smear and \t\t\t \t\t\t\t\t\t \t\t\t depression screen \t\t\t \t\t\t.', '{""commonTestsAndProcedures"":""Pelvis exam""}'"
6,111,Fracture of the hand,Hand or finger pain,71,Wrist pain,67,Hand or finger swelling,39,Arm pain,23,
7,112,Cellulitis or abscess of mouth,Lip swelling,87,Sore throat,42,Toothache,40,Abnormal appearing skin,26,"'Cellulitis or abscess of mouth \t \t \t\tCellulitis or abscess of mouth is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.', 'Patients with cellulitis or abscess of mouth often receive \t\t\t \t\t\t complete physical skin exam performed (ml)', ' \t\t\t \t\t\t\t\t\t \t\t\t excision', ' \t\t\t \t\t\t\t\t\t \t\t\t incision and drainage', ' \t\t\t \t\t\t\t\t\t \t\t\t biopsy', ' \t\t\t \t\t\t\t\t\t \t\t\t wound care management', ' \t\t\t \t\t\t\t\t\t \t\t\t culture wound', ' \t\t\t \t\t\t\t\t\t \t\t\t other or therapeutic procedures on nose;;;;;;'"
8,25,Eye alignment disorder,Eye deviation,41,Diminished vision,39,Double vision,36,Cross-eyed,35,"'Eye alignment disorder \t \t\t \tWhen you look at an object', ' you’re using several muscles to move both eyes to focus on it. If you have a problem with the muscles', ' the eyes don’t work properly. There are many kinds of eye movement disorders. Two common ones are: Strabismus – a disorder in which the two eyes don’t line up in the same direction. This results in “crossed eyes” or “walleye.” Nystagmus – fast', ' uncontrollable movements of the eyes', ' sometimes called “dancing eyes” Some eye movement disorders are present at birth. Others develop over time and may be associated with other problems', ' such as injuries. Treatments include glasses', ' eye muscle exercises', ' and surgery. There is no treatment for some kinds of eye movement disorders', ' such as most kinds of nystagmus. \t\t Source: MedlinePlus', 'Patients with eye alignment disorder often receive \t\t\t \t\t\t ophthalmologic and otologic diagnosis and treatment'"
9,26,Headache after lumbar puncture,Headache,98,Nausea,65,Back pain,65,Vomiting,56,"'Headache after lumbar puncture \t Also known as Spinal Headache', ' Lumbar Puncture Headache', ' Post Lumbar Puncture Headache', ' and Dural Headache Post Puncture \t \t \t\tHeadache after lumbar puncture is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.', 'Patients with headache after lumbar puncture often receive \t\t\t \t\t\t intravenous fluid replacement', ' \t\t\t \t\t\t\t\t\t \t\t\t complete blood count', ' \t\t\t \t\t\t\t\t\t \t\t\t hematologic tests', ' \t\t\t \t\t\t\t\t\t \t\t\t electrolytes panel', ' \t\t\t \t\t\t\t\t\t \t\t\t glucose measurement', ' \t\t\t \t\t\t\t\t\t \t\t\t kidney function tests'"
